      ('eor.w', 'zpSII', 2, 1, 'DB41')
      ('eor.w', 'absSI', 2, 2, 'DB5D')
      ('eor', 'zpSII', 3, 1, '8B9B41')
      ('eor', 'absSI', 3, 2, '8B9B5D')
adc   ('adc', 'zpXI', 1, 1, '61')
      ('adc', 'zpIY', 1, 1, '71')
      ('adc', 'zpI', 1, 1, '72')
      ('adc', 'ipp', 1, 1, '63')
      ('adc', 'zp', 1, 1, '65')
      ('adc', 'zpX', 1, 1, '75')
      ('adc', 'imm', 1, 1, '69')
      ('adc', 'absY', 1, 2, '79')
      ('adc', 'abs', 1, 2, '6D')
      ('adc', 'absX', 1, 2, '7D')
      ('adc', 'zpXII', 2, 1, '9B61')
      ('adc', 'zpIIY', 2, 1, '9B71')
      ('adc', 'zpII', 2, 1, '9B72')
      ('adc', 'ippI', 2, 1, '9B63')
      ('adc', 'absIY', 2, 2, '9B79')
      ('adc', 'absI', 2, 2, '9B6D')
      ('adc', 'absXI', 2, 2, '9B7D')
      ('adc.w', 'zpXI', 2, 1, 'AB61')
      ('adc.w', 'zpIY', 2, 1, 'AB71')
      ('adc.w', 'zpI', 2, 1, 'AB72')
      ('adc.w', 'ipp', 2, 1, 'AB63')
      ('adc.w', 'zp', 2, 1, 'AB65')
      ('adc.w', 'zpX', 2, 1, 'AB75')
      ('adc.w', 'imm', 2, 2, 'AB69')
      ('adc.w', 'absY', 2, 2, 'AB79')
      ('adc.w', 'abs', 2, 2, 'AB6D')
      ('adc.w', 'absX', 2, 2, 'AB7D')
      ('adc.w', 'zpXII', 2, 1, 'BB61')
      ('adc.w', 'zpIIY', 2, 1, 'BB71')
      ('adc.w', 'zpII', 2, 1, 'BB72')
      ('adc.w', 'ippI', 2, 1, 'BB63')
      ('adc.w', 'absIY', 2, 2, 'BB79')
      ('adc.w', 'absI', 2, 2, 'BB6D')
      ('adc.w', 'absXI', 2, 2, 'BB7D')
      ('adc', 'zpSI', 2, 1, '8B61')
      ('adc', 'zpS', 2, 1, '8B75')
      ('adc', 'absS', 2, 2, '8B7D')
      ('adc.w', 'zpSI', 2, 1, 'CB61')
      ('adc.w', 'zpS', 2, 1, 'CB75')
      ('adc.w', 'absS', 2, 2, 'CB7D')
      ('adc.w', 'zpSII', 2, 1, 'DB61')
      ('adc.w', 'absSI', 2, 2, 'DB7D')
      ('adc', 'zpSII', 3, 1, '8B9B61')
      ('adc', 'absSI', 3, 2, '8B9B7D')
sta   ('sta', 'zpXI', 1, 1, '81')
      ('sta', 'zpIY', 1, 1, '91')
      ('sta', 'zpI', 1, 1, '92')
      ('sta', 'ipp', 1, 1, '83')
      ('sta', 'zp', 1, 1, '85')
      ('sta', 'zpX', 1, 1, '95')
      ('sta', 'absY', 1, 2, '99')
      ('sta', 'abs', 1, 2, '8D')
      ('sta', 'absX', 1, 2, '9D')
      ('sta', 'zpXII', 2, 1, '9B81')
      ('sta', 'zpIIY', 2, 1, '9B91')
      ('sta', 'zpII', 2, 1, '9B92')
      ('sta', 'ippI', 2, 1, '9B83')
      ('sta', 'absIY', 2, 2, '9B99')
      ('sta', 'absI', 2, 2, '9B8D')
      ('sta', 'absXI', 2, 2, '9B9D')
      ('sta.w', 'zpXI', 2, 1, 'AB81')
      ('sta.w', 'zpIY', 2, 1, 'AB91')
      ('sta.w', 'zpI', 2, 1, 'AB92')
      ('sta.w', 'ipp', 2, 1, 'AB83')
      ('sta.w', 'zp', 2, 1, 'AB85')
      ('sta.w', 'zpX', 2, 1, 'AB95')
      ('sta.w', 'absY', 2, 2, 'AB99')
      ('sta.w', 'abs', 2, 2, 'AB8D')
      ('sta.w', 'absX', 2, 2, 'AB9D')
      ('sta.w', 'zpXII', 2, 1, 'BB81')
      ('sta.w', 'zpIIY', 2, 1, 'BB91')
      ('sta.w', 'zpII', 2, 1, 'BB92')
      ('sta.w', 'ippI', 2, 1, 'BB83')
      ('sta.w', 'absIY', 2, 2, 'BB99')
      ('sta.w', 'absI', 2, 2, 'BB8D')
      ('sta.w', 'absXI', 2, 2, 'BB9D')
      ('sta', 'zpSI', 2, 1, '8B81')
      ('sta', 'zpS', 2, 1, '8B95')
      ('sta', 'absS', 2, 2, '8B9D')
      ('sta.w', 'zpSI', 2, 1, 'CB81')
      ('sta.w', 'zpS', 2, 1, 'CB95')
      ('sta.w', 'absS', 2, 2, 'CB9D')
      ('sta.w', 'zpSII', 2, 1, 'DB81')
      ('sta.w', 'absSI', 2, 2, 'DB9D')
      ('sta', 'zpSII', 3, 1, '8B9B81')
      ('sta', 'absSI', 3, 2, '8B9B9D')
lda   ('lda', 'zpXI', 1, 1, 'A1')
      ('lda', 'zpIY', 1, 1, 'B1')
      ('lda', 'zpI', 1, 1, 'B2')
      ('lda', 'ipp', 1, 1, 'A3')
      ('lda', 'zp', 1, 1, 'A5')
      ('lda', 'zpX', 1, 1, 'B5')
      ('lda', 'imm', 1, 1, 'A9')
      ('lda', 'absY', 1, 2, 'B9')
      ('lda', 'abs', 1, 2, 'AD')
      ('lda', 'absX', 1, 2, 'BD')
      ('lda', 'zpXII', 2, 1, '9BA1')
      ('lda', 'zpIIY', 2, 1, '9BB1')
      ('lda', 'zpII', 2, 1, '9BB2')
      ('lda', 'ippI', 2, 1, '9BA3')
      ('lda', 'absIY', 2, 2, '9BB9')
      ('lda', 'absI', 2, 2, '9BAD')
      ('lda', 'absXI', 2, 2, '9BBD')
      ('lda.w', 'zpXI', 2, 1, 'ABA1')
      ('lda.w', 'zpIY', 2, 1, 'ABB1')
      ('lda.w', 'zpI', 2, 1, 'ABB2')
      ('lda.w', 'ipp', 2, 1, 'ABA3')
      ('lda.w', 'zp', 2, 1, 'ABA5')
      ('lda.w', 'zpX', 2, 1, 'ABB5')
      ('lda.w', 'imm', 2, 2, 'ABA9')
      ('lda.w', 'absY', 2, 2, 'ABB9')
      ('lda.w', 'abs', 2, 2, 'ABAD')
      ('lda.w', 'absX', 2, 2, 'ABBD')
      ('lda.w', 'zpXII', 2, 1, 'BBA1')
      ('lda.w', 'zpIIY', 2, 1, 'BBB1')
      ('lda.w', 'zpII', 2, 1, 'BBB2')
      ('lda.w', 'ippI', 2, 1, 'BBA3')
      ('lda.w', 'absIY', 2, 2, 'BBB9')
      ('lda.w', 'absI', 2, 2, 'BBAD')
      ('lda.w', 'absXI', 2, 2, 'BBBD')
      ('lda', 'zpSI', 2, 1, '8BA1')
      ('lda', 'zpS', 2, 1, '8BB5')
      ('lda', 'absS', 2, 2, '8BBD')
      ('lda.w', 'zpSI', 2, 1, 'CBA1')
      ('lda.w', 'zpS', 2, 1, 'CBB5')
      ('lda.w', 'absS', 2, 2, 'CBBD')
      ('lda.w', 'zpSII', 2, 1, 'DBA1')
      ('lda.w', 'absSI', 2, 2, 'DBBD')
      ('lda', 'zpSII', 3, 1, '8B9BA1')
      ('lda', 'absSI', 3, 2, '8B9BBD')
cmp   ('cmp', 'zpXI', 1, 1, 'C1')
      ('cmp', 'zpIY', 1, 1, 'D1')
      ('cmp', 'zpI', 1, 1, 'D2')
      ('cmp', 'ipp', 1, 1, 'C3')
      ('cmp', 'zp', 1, 1, 'C5')
      ('cmp', 'zpX', 1, 1, 'D5')
      ('cmp', 'imm', 1, 1, 'C9')
      ('cmp', 'absY', 1, 2, 'D9')
      ('cmp', 'abs', 1, 2, 'CD')
      ('cmp', 'absX', 1, 2, 'DD')
      ('cmp', 'zpXII', 2, 1, '9BC1')
      ('cmp', 'zpIIY', 2, 1, '9BD1')
      ('cmp', 'zpII', 2, 1, '9BD2')
      ('cmp', 'ippI', 2, 1, '9BC3')
      ('cmp', 'absIY', 2, 2, '9BD9')
      ('cmp', 'absI', 2, 2, '9BCD')
      ('cmp', 'absXI', 2, 2, '9BDD')
      ('cmp.w', 'zpXI', 2, 1, 'ABC1')
      ('cmp.w', 'zpIY', 2, 1, 'ABD1')
      ('cmp.w', 'zpI', 2, 1, 'ABD2')
      ('cmp.w', 'ipp', 2, 1, 'ABC3')
      ('cmp.w', 'zp', 2, 1, 'ABC5')
      ('cmp.w', 'zpX', 2, 1, 'ABD5')
      ('cmp.w', 'imm', 2, 2, 'ABC9')
      ('cmp.w', 'absY', 2, 2, 'ABD9')
      ('cmp.w', 'abs', 2, 2, 'ABCD')
      ('cmp.w', 'absX', 2, 2, 'ABDD')
      ('cmp.w', 'zpXII', 2, 1, 'BBC1')
      ('cmp.w', 'zpIIY', 2, 1, 'BBD1')
      ('cmp.w', 'zpII', 2, 1, 'BBD2')
      ('cmp.w', 'ippI', 2, 1, 'BBC3')
      ('cmp.w', 'absIY', 2, 2, 'BBD9')
      ('cmp.w', 'absI', 2, 2, 'BBCD')
      ('cmp.w', 'absXI', 2, 2, 'BBDD')
      ('cmp', 'zpSI', 2, 1, '8BC1')
      ('cmp', 'zpS', 2, 1, '8BD5')
      ('cmp', 'absS', 2, 2, '8BDD')
      ('cmp.w', 'zpSI', 2, 1, 'CBC1')
      ('cmp.w', 'zpS', 2, 1, 'CBD5')
      ('cmp.w', 'absS', 2, 2, 'CBDD')
      ('cmp.w', 'zpSII', 2, 1, 'DBC1')
      ('cmp.w', 'absSI', 2, 2, 'DBDD')
      ('cmp', 'zpSII', 3, 1, '8B9BC1')
      ('cmp', 'absSI', 3, 2, '8B9BDD')
sbc   ('sbc', 'zpXI', 1, 1, 'E1')
      ('sbc', 'zpIY', 1, 1, 'F1')
      ('sbc', 'zpI', 1, 1, 'F2')
      ('sbc', 'ipp', 1, 1, 'E3')
      ('sbc', 'zp', 1, 1, 'E5')
      ('sbc', 'zpX', 1, 1, 'F5')
      ('sbc', 'imm', 1, 1, 'E9')
      ('sbc', 'absY', 1, 2, 'F9')
      ('sbc', 'abs', 1, 2, 'ED')
      ('sbc', 'absX', 1, 2, 'FD')
      ('sbc', 'zpXII', 2, 1, '9BE1')
      ('sbc', 'zpIIY', 2, 1, '9BF1')
      ('sbc', 'zpII', 2, 1, '9BF2')
      ('sbc', 'ippI', 2, 1, '9BE3')
      ('sbc', 'absIY', 2, 2, '9BF9')
      ('sbc', 'absI', 2, 2, '9BED')
      ('sbc', 'absXI', 2, 2, '9BFD')
      ('sbc.w', 'zpXI', 2, 1, 'ABE1')
      ('sbc.w', 'zpIY', 2, 1, 'ABF1')
      ('sbc.w', 'zpI', 2, 1, 'ABF2')
      ('sbc.w', 'ipp', 2, 1, 'ABE3')
      ('sbc.w', 'zp', 2, 1, 'ABE5')
      ('sbc.w', 'zpX', 2, 1, 'ABF5')
      ('sbc.w', 'imm', 2, 2, 'ABE9')
      ('sbc.w', 'absY', 2, 2, 'ABF9')
      ('sbc.w', 'abs', 2, 2, 'ABED')
      ('sbc.w', 'absX', 2, 2, 'ABFD')
      ('sbc.w', 'zpXII', 2, 1, 'BBE1')
      ('sbc.w', 'zpIIY', 2, 1, 'BBF1')
      ('sbc.w', 'zpII', 2, 1, 'BBF2')
      ('sbc.w', 'ippI', 2, 1, 'BBE3')
      ('sbc.w', 'absIY', 2, 2, 'BBF9')
      ('sbc.w', 'absI', 2, 2, 'BBED')
      ('sbc.w', 'absXI', 2, 2, 'BBFD')
      ('sbc', 'zpSI', 2, 1, '8BE1')
      ('sbc', 'zpS', 2, 1, '8BF5')
      ('sbc', 'absS', 2, 2, '8BFD')
      ('sbc.w', 'zpSI', 2, 1, 'CBE1')
      ('sbc.w', 'zpS', 2, 1, 'CBF5')
      ('sbc.w', 'absS', 2, 2, 'CBFD')
      ('sbc.w', 'zpSII', 2, 1, 'DBE1')
      ('sbc.w', 'absSI', 2, 2, 'DBFD')
      ('sbc', 'zpSII', 3, 1, '8B9BE1')
      ('sbc', 'absSI', 3, 2, '8B9BFD')
cop   ('cop', 'imm', 1, 1, '02')
rsv   ('rsv1', 'imp', 1, 0, '22')
      ('rsv2', 'imp', 1, 0, '42')
      ('rsv3', 'imp', 1, 0, '62')
      ('rsv4', 'imp', 1, 0, '82')
ldx   ('ldx', 'imm', 1, 1, 'A2')
      ('ldx', 'zp', 1, 1, 'A6')
      ('ldx', 'zpY', 1, 1, 'B6')
      ('ldx', 'abs', 1, 2, 'AE')
      ('ldx', 'absY', 1, 2, 'BE')
      ('ldx', 'zpI', 2, 1, '9BA6')
      ('ldx', 'zpIY', 2, 1, '9BB6')
      ('ldx', 'absI', 2, 2, '9BAE')
      ('ldx', 'absIY', 2, 2, '9BBE')
      ('ldx.w', 'imm', 2, 2, 'ABA2')
      ('ldx.w', 'zp', 2, 1, 'ABA6')
      ('ldx.w', 'zpY', 2, 1, 'ABB6')
      ('ldx.w', 'abs', 2, 2, 'ABAE')
      ('ldx.w', 'absY', 2, 2, 'ABBE')
      ('ldx.w', 'zpI', 2, 1, 'BBA6')
      ('ldx.w', 'zpIY', 2, 1, 'BBB6')
      ('ldx.w', 'absI', 2, 2, 'BBAE')
      ('ldx.w', 'absIY', 2, 2, 'BBBE')
adj   ('adj', 'imm', 1, 1, 'C2')
      ('adj.w', 'imm', 2, 2, 'ABC2')
      ('adj.s', 'imm', 2, 1, '8BC2')
      ('adj.sw', 'imm', 2, 2, 'CBC2')
psh   ('psh', 'imm', 1, 1, 'E2')
      ('psh', 'zp', 1, 1, 'D4')
      ('psh', 'abs', 1, 2, 'DC')
      ('psh', 'zpI', 2, 1, '9BD4')
      ('psh', 'absI', 2, 2, '9BDC')
      ('psh.w', 'imm', 2, 2, 'ABE2')
      ('psh.w', 'zp', 2, 1, 'ABD4')
      ('psh.w', 'abs', 2, 2, 'ABDC')
      ('psh.w', 'zpI', 2, 1, 'BBD4')
      ('psh.w', 'absI', 2, 2, 'BBDC')
      ('psh.s', 'imm', 2, 1, '8BE2')
      ('psh.s', 'zp', 2, 0, '8BD4')
      ('psh.s', 'abs', 2, 2, '8BDC')
      ('psh.sw', 'imm', 2, 2, 'CBE2')
      ('psh.sw', 'zp', 2, 1, 'CBD4')
      ('psh.sw', 'abs', 2, 2, 'CBDC')
      ('psh.sw', 'zpI', 2, 1, 'DBD4')
      ('psh.sw', 'absI', 2, 2, 'DBDC')
      ('psh.s', 'zpI', 3, 1, '8B9BD4')
      ('psh.s', 'absI', 3, 2, '8B9BDC')
asl   ('asl', 'ipp', 1, 1, '13')
      ('asl', 'zp', 1, 1, '06')
