cod opc  Mode ind siz isz osx osz ois oax oay
0F  BBR0 zprel Y   N   N   N   N   N   N   N
1F  BBR1 zprel Y   N   N   N   N   N   N   N
2F  BBR2 zprel Y   N   N   N   N   N   N   N
3F  BBR3 zprel Y   N   N   N   N   N   N   N
4F  BBR4 zprel Y   N   N   N   N   N   N   N
5F  BBR5 zprel Y   N   N   N   N   N   N   N
6F  BBR6 zprel Y   N   N   N   N   N   N   N
7F  BBR7 zprel Y   N   N   N   N   N   N   N
8F  BBS0 zprel Y   N   N   N   N   N   N   N
9F  BBS1 zprel Y   N   N   N   N   N   N   N
AF  BBS2 zprel Y   N   N   N   N   N   N   N
BF  BBS3 zprel Y   N   N   N   N   N   N   N
CF  BBS4 zprel Y   N   N   N   N   N   N   N
DF  BBS5 zprel Y   N   N   N   N   N   N   N
EF  BBS6 zprel Y   N   N   N   N   N   N   N
FF  BBS7 zprel Y   N   N   N   N   N   N   N
