    ('eor', 'zpSIY', 2, 1, '8B51')
    ('eor.w', 'zpSIY', 2, 1, 'CB51')
    ('eor.w', 'zpSIIY', 2, 1, 'DB51')
    ('eor', 'zpSIIY', 3, 1, '8B9B51')
    ('eor.x', 'zpIY', 2, 1, 'EB51')
    ('eor.x', 'zpIIY', 3, 1, 'EB9B51')
    ('eor.xw', 'zpIY', 3, 1, 'EBAB51')
    ('eor.xw', 'zpIIY', 3, 1, 'EBBB51')
    ('eor.y', 'zpIA', 2, 1, 'FB51')
    ('eor.y', 'zpIIA', 3, 1, 'FB9B51')
    ('eor.yw', 'zpIA', 3, 1, 'FBAB51')
    ('eor.yw', 'zpIIA', 3, 1, 'FBBB51')
    ('eor.y', 'zpSIA', 3, 1, 'FB8B51')
    ('eor.yw', 'zpSIA', 3, 1, 'FBCB51')
    ('eor.yw', 'zpSIIA', 3, 1, 'FBDB51')
    ('eor.y', 'zpSIIA', 4, 1, 'FB8B9B51')
61  ('adc', 'zpXI', 1, 1, '61')
    ('adc', 'zpXII', 2, 1, '9B61')
    ('adc.w', 'zpXI', 2, 1, 'AB61')
    ('adc.w', 'zpXII', 2, 1, 'BB61')
    ('adc', 'zpSI', 2, 1, '8B61')
    ('adc.w', 'zpSI', 2, 1, 'CB61')
    ('adc.w', 'zpSII', 2, 1, 'DB61')
    ('adc', 'zpSII', 3, 1, '8B9B61')
    ('adc.x', 'zpAI', 2, 1, 'EB61')
    ('adc.x', 'zpAII', 3, 1, 'EB9B61')
    ('adc.xw', 'zpAI', 3, 1, 'EBAB61')
    ('adc.xw', 'zpAII', 3, 1, 'EBBB61')
    ('adc.y', 'zpXI', 2, 1, 'FB61')
    ('adc.y', 'zpXII', 3, 1, 'FB9B61')
    ('adc.yw', 'zpXI', 3, 1, 'FBAB61')
    ('adc.yw', 'zpXII', 3, 1, 'FBBB61')
    ('adc.y', 'zpSI', 3, 1, 'FB8B61')
    ('adc.yw', 'zpSI', 3, 1, 'FBCB61')
    ('adc.yw', 'zpSII', 3, 1, 'FBDB61')
    ('adc.y', 'zpSII', 4, 1, 'FB8B9B61')
71  ('adc', 'zpIY', 1, 1, '71')
    ('adc', 'zpIIY', 2, 1, '9B71')
    ('adc.w', 'zpIY', 2, 1, 'AB71')
    ('adc.w', 'zpIIY', 2, 1, 'BB71')
    ('adc', 'zpSIY', 2, 1, '8B71')
    ('adc.w', 'zpSIY', 2, 1, 'CB71')
    ('adc.w', 'zpSIIY', 2, 1, 'DB71')
    ('adc', 'zpSIIY', 3, 1, '8B9B71')
    ('adc.x', 'zpIY', 2, 1, 'EB71')
    ('adc.x', 'zpIIY', 3, 1, 'EB9B71')
    ('adc.xw', 'zpIY', 3, 1, 'EBAB71')
    ('adc.xw', 'zpIIY', 3, 1, 'EBBB71')
    ('adc.y', 'zpIA', 2, 1, 'FB71')
    ('adc.y', 'zpIIA', 3, 1, 'FB9B71')
    ('adc.yw', 'zpIA', 3, 1, 'FBAB71')
    ('adc.yw', 'zpIIA', 3, 1, 'FBBB71')
    ('adc.y', 'zpSIA', 3, 1, 'FB8B71')
    ('adc.yw', 'zpSIA', 3, 1, 'FBCB71')
    ('adc.yw', 'zpSIIA', 3, 1, 'FBDB71')
    ('adc.y', 'zpSIIA', 4, 1, 'FB8B9B71')
81  ('sta', 'zpXI', 1, 1, '81')
    ('sta', 'zpXII', 2, 1, '9B81')
    ('sta.w', 'zpXI', 2, 1, 'AB81')
    ('sta.w', 'zpXII', 2, 1, 'BB81')
    ('sta', 'zpSI', 2, 1, '8B81')
    ('sta.w', 'zpSI', 2, 1, 'CB81')
    ('sta.w', 'zpSII', 2, 1, 'DB81')
    ('sta', 'zpSII', 3, 1, '8B9B81')
    ('sta.x', 'zpAI', 2, 1, 'EB81')
    ('sta.x', 'zpAII', 3, 1, 'EB9B81')
    ('sta.xw', 'zpAI', 3, 1, 'EBAB81')
    ('sta.xw', 'zpAII', 3, 1, 'EBBB81')
    ('sta.y', 'zpXI', 2, 1, 'FB81')
    ('sta.y', 'zpXII', 3, 1, 'FB9B81')
    ('sta.yw', 'zpXI', 3, 1, 'FBAB81')
    ('sta.yw', 'zpXII', 3, 1, 'FBBB81')
    ('sta.y', 'zpSI', 3, 1, 'FB8B81')
    ('sta.yw', 'zpSI', 3, 1, 'FBCB81')
    ('sta.yw', 'zpSII', 3, 1, 'FBDB81')
    ('sta.y', 'zpSII', 4, 1, 'FB8B9B81')
91  ('sta', 'zpIY', 1, 1, '91')
    ('sta', 'zpIIY', 2, 1, '9B91')
    ('sta.w', 'zpIY', 2, 1, 'AB91')
    ('sta.w', 'zpIIY', 2, 1, 'BB91')
    ('sta', 'zpSIY', 2, 1, '8B91')
    ('sta.w', 'zpSIY', 2, 1, 'CB91')
    ('sta.w', 'zpSIIY', 2, 1, 'DB91')
    ('sta', 'zpSIIY', 3, 1, '8B9B91')
    ('sta.x', 'zpIY', 2, 1, 'EB91')
    ('sta.x', 'zpIIY', 3, 1, 'EB9B91')
    ('sta.xw', 'zpIY', 3, 1, 'EBAB91')
    ('sta.xw', 'zpIIY', 3, 1, 'EBBB91')
    ('sta.y', 'zpIA', 2, 1, 'FB91')
    ('sta.y', 'zpIIA', 3, 1, 'FB9B91')
    ('sta.yw', 'zpIA', 3, 1, 'FBAB91')
    ('sta.yw', 'zpIIA', 3, 1, 'FBBB91')
    ('sta.y', 'zpSIA', 3, 1, 'FB8B91')
    ('sta.yw', 'zpSIA', 3, 1, 'FBCB91')
    ('sta.yw', 'zpSIIA', 3, 1, 'FBDB91')
    ('sta.y', 'zpSIIA', 4, 1, 'FB8B9B91')
A1  ('lda', 'zpXI', 1, 1, 'A1')
    ('lda', 'zpXII', 2, 1, '9BA1')
    ('lda.w', 'zpXI', 2, 1, 'ABA1')
    ('lda.w', 'zpXII', 2, 1, 'BBA1')
    ('lda', 'zpSI', 2, 1, '8BA1')
    ('lda.w', 'zpSI', 2, 1, 'CBA1')
    ('lda.w', 'zpSII', 2, 1, 'DBA1')
    ('lda', 'zpSII', 3, 1, '8B9BA1')
    ('lda.x', 'zpAI', 2, 1, 'EBA1')
    ('lda.x', 'zpAII', 3, 1, 'EB9BA1')
    ('lda.xw', 'zpAI', 3, 1, 'EBABA1')
    ('lda.xw', 'zpAII', 3, 1, 'EBBBA1')
    ('lda.y', 'zpXI', 2, 1, 'FBA1')
    ('lda.y', 'zpXII', 3, 1, 'FB9BA1')
    ('lda.yw', 'zpXI', 3, 1, 'FBABA1')
    ('lda.yw', 'zpXII', 3, 1, 'FBBBA1')
    ('lda.y', 'zpSI', 3, 1, 'FB8BA1')
    ('lda.yw', 'zpSI', 3, 1, 'FBCBA1')
    ('lda.yw', 'zpSII', 3, 1, 'FBDBA1')
    ('lda.y', 'zpSII', 4, 1, 'FB8B9BA1')
B1  ('lda', 'zpIY', 1, 1, 'B1')
    ('lda', 'zpIIY', 2, 1, '9BB1')
